fold,seed,policy,representation,target_budget,budget,rows,simulated_second_calls,effective_budget,call_rate,mean_score_acquired,C_D_reference,budget_semantics,macro_f1,malicious_recall,false_positive_rate,tn,fp,fn,tp,C,D,C_minus_D,utility_lambda_0_0,utility_lambda_0_01,utility_lambda_0_05,group
0,42,post_first_temporal_gain_regression,v60_rule_or_gain,2.0,2.0,2000,2000,2.0,1.0,-0.00022577179598663123,first_temporal,exact_quota,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,-0.01,-0.05,malware:Virut
0,42,probability_only_gain_classifier_positive_stop,v60_rule_or_gain,,,2000,0,1.0,0.0,0.0,first_temporal,positive_score_stop,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,0.0,0.0,benign:Weibo
0,42,probability_only_gain_classifier_positive_stop,v60_rule_or_gain,,,2000,1998,1.999,0.999,2.815122929753935e-05,first_temporal,positive_score_stop,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,-0.00999,-0.04995,malware:Virut
0,42,post_first_temporal_gain_classifier_positive_stop,v60_rule_or_gain,,,2000,1996,1.998,0.998,4.092627558278925e-06,first_temporal,positive_score_stop,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-0.009980000000000001,-0.04990000000000001,benign:Weibo
0,42,post_first_temporal_gain_classifier_positive_stop,v60_rule_or_gain,,,2000,1892,1.946,0.946,6.145975631679483e-06,first_temporal,positive_score_stop,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,-0.009460000000000001,-0.0473,malware:Virut
0,42,probability_only_gain_regression_positive_stop,v60_rule_or_gain,,,2000,0,1.0,0.0,0.0,first_temporal,positive_score_stop,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,0.0,0.0,benign:Weibo
0,42,probability_only_gain_regression_positive_stop,v60_rule_or_gain,,,2000,1998,1.999,0.999,0.0002872028518163683,first_temporal,positive_score_stop,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,-0.00999,-0.04995,malware:Virut
0,42,post_first_temporal_gain_regression_positive_stop,v60_rule_or_gain,,,2000,1910,1.955,0.955,0.0009220010805327397,first_temporal,positive_score_stop,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-0.009550000000000001,-0.04775,benign:Weibo
0,42,post_first_temporal_gain_regression_positive_stop,v60_rule_or_gain,,,2000,1966,1.983,0.983,0.00018384104121546883,first_temporal,positive_score_stop,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,-0.00983,-0.049150000000000006,malware:Virut
1,42,confidence_budget,v60_rule,1.0,1.0,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,0.0,0.0,benign:MySQL
1,42,confidence_budget,v60_rule,1.0,1.0,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.49874686716791977,0.995,0.0,0,0,10,1990,0,0,0,0.0,0.0,0.0,malware:Neris
