fold,seed,policy,representation,target_budget,budget,rows,simulated_second_calls,effective_budget,call_rate,mean_score_acquired,C_D_reference,budget_semantics,macro_f1,malicious_recall,false_positive_rate,tn,fp,fn,tp,C,D,C_minus_D,utility_lambda_0_0,utility_lambda_0_01,utility_lambda_0_05,mean_delta
1,42,post_first_temporal_gain_regression_positive_stop,v60_rule_or_gain,,,4000,1670,1.4175,0.4175,0.027914516117618,first_temporal,positive_score_stop,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,-0.0005,-0.004675,-0.021375,-0.0005
1,42,probability_only_gain_classifier,v60_rule_or_gain,1.0,1.0,4000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.9974999843749024,0.995,0.0,2000,0,10,1990,0,0,0,0.0,0.0,0.0,0.0
1,42,probability_only_gain_classifier,v60_rule_or_gain,1.1,1.1,4000,400,1.1,0.1,0.0244105492129569,first_temporal,exact_quota,0.9974999843749024,0.995,0.0,2000,0,10,1990,2,2,0,0.0,-0.001,-0.005000000000000001,0.0
1,42,probability_only_gain_classifier,v60_rule_or_gain,1.25,1.25,4000,1000,1.25,0.25,0.0097544286642378,first_temporal,exact_quota,0.9974999843749024,0.995,0.0,2000,0,10,1990,2,2,0,0.0,-0.0025,-0.0125,0.0
1,42,probability_only_gain_classifier,v60_rule_or_gain,1.5,1.5,4000,2000,1.5,0.5,0.0048690551479982,first_temporal,exact_quota,0.9974999843749024,0.995,0.0,2000,0,10,1990,2,2,0,0.0,-0.005,-0.025,0.0
1,42,probability_only_gain_classifier,v60_rule_or_gain,2.0,2.0,4000,4000,2.0,1.0,9.553145827845412e-05,first_temporal,exact_quota,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,-0.0005,-0.0105,-0.0505,-0.0005
1,42,probability_only_gain_classifier_positive_stop,v60_rule_or_gain,,,4000,32,1.008,0.008,0.3053195263967376,first_temporal,positive_score_stop,0.9974999843749024,0.995,0.0,2000,0,10,1990,2,2,0,0.0,-8e-05,-0.0004,0.0
1,42,probability_only_gain_regression,v60_rule_or_gain,1.0,1.0,4000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.9974999843749024,0.995,0.0,2000,0,10,1990,0,0,0,0.0,0.0,0.0,0.0
1,42,probability_only_gain_regression,v60_rule_or_gain,1.1,1.1,4000,400,1.1,0.1,0.0271323188578312,first_temporal,exact_quota,0.9974999843749024,0.995,0.0,2000,0,10,1990,2,2,0,0.0,-0.001,-0.005000000000000001,0.0
1,42,probability_only_gain_regression,v60_rule_or_gain,1.25,1.25,4000,1000,1.25,0.25,0.0109322969097127,first_temporal,exact_quota,0.9974999843749024,0.995,0.0,2000,0,10,1990,2,2,0,0.0,-0.0025,-0.0125,0.0
1,42,probability_only_gain_regression,v60_rule_or_gain,1.5,1.5,4000,2000,1.5,0.5,0.0055200809333324,first_temporal,exact_quota,0.9974999843749024,0.995,0.0,2000,0,10,1990,2,2,0,0.0,-0.005,-0.025,0.0
1,42,probability_only_gain_regression,v60_rule_or_gain,2.0,2.0,4000,4000,2.0,1.0,0.0007750454478302,first_temporal,exact_quota,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,-0.0005,-0.0105,-0.0505,-0.0005
1,42,probability_only_gain_regression_positive_stop,v60_rule_or_gain,,,4000,1965,1.49125,0.49125,0.0056284729300912,first_temporal,positive_score_stop,0.9974999843749024,0.995,0.0,2000,0,10,1990,2,2,0,0.0,-0.0049125,-0.0245625,0.0
2,42,all_average,v60_baseline,1.0,1.0,4000,4000,2.0,1.0,0.0,first_temporal,repeated_reference_panel,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.01,-0.05,0.0
2,42,all_average,v60_baseline,1.1,1.1,4000,4000,2.0,1.0,0.0,first_temporal,repeated_reference_panel,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.01,-0.05,0.0
2,42,all_average,v60_baseline,1.25,1.25,4000,4000,2.0,1.0,0.0,first_temporal,repeated_reference_panel,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.01,-0.05,0.0
2,42,all_average,v60_baseline,1.5,1.5,4000,4000,2.0,1.0,0.0,first_temporal,repeated_reference_panel,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.01,-0.05,0.0
2,42,all_average,v60_baseline,2.0,2.0,4000,4000,2.0,1.0,0.0,first_temporal,repeated_reference_panel,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.01,-0.05,0.0
2,42,confidence_budget,v60_rule,1.0,1.0,4000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,0.0,0.0,0.0
2,42,confidence_budget,v60_rule,1.1,1.1,4000,400,1.1,0.1,0.0,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.001,-0.005000000000000001,0.0
2,42,confidence_budget,v60_rule,1.25,1.25,4000,1000,1.25,0.25,0.0,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.0025,-0.0125,0.0
2,42,confidence_budget,v60_rule,1.5,1.5,4000,2000,1.5,0.5,0.0,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.005,-0.025,0.0
2,42,confidence_budget,v60_rule,2.0,2.0,4000,4000,2.0,1.0,0.0,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.01,-0.05,0.0
2,42,first_stats,v60_baseline,1.0,1.0,4000,0,1.0,0.0,0.0,first_temporal,repeated_reference_panel,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,0.0,0.0,0.0
2,42,first_stats,v60_baseline,1.1,1.1,4000,0,1.0,0.0,0.0,first_temporal,repeated_reference_panel,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,0.0,0.0,0.0
2,42,first_stats,v60_baseline,1.25,1.25,4000,0,1.0,0.0,0.0,first_temporal,repeated_reference_panel,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,0.0,0.0,0.0
2,42,first_stats,v60_baseline,1.5,1.5,4000,0,1.0,0.0,0.0,first_temporal,repeated_reference_panel,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,0.0,0.0,0.0
2,42,first_stats,v60_baseline,2.0,2.0,4000,0,1.0,0.0,0.0,first_temporal,repeated_reference_panel,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,0.0,0.0,0.0
2,42,first_temporal,v60_baseline,1.0,1.0,4000,0,1.0,0.0,0.0,first_temporal,repeated_reference_panel,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,0.0,0.0,0.0
2,42,first_temporal,v60_baseline,1.1,1.1,4000,0,1.0,0.0,0.0,first_temporal,repeated_reference_panel,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,0.0,0.0,0.0
