method,prefix_packets,round,capture,root_seconds,residual_seconds,prefix_materialization_seconds,source_parse_seconds,temporal_feature_seconds,temporal_inference_seconds,stats_feature_seconds,stats_inference_seconds,fusion_seconds,coordination_seconds
temporal,16,1,Benign\Weibo\Weibo\Weibo-1.pcap,0.9828806,0.0031342,0.0962885,0.7423679,0.1354777,0.0056123,0.0,0.0,0.0,0.0
temporal,16,1,Benign\Weibo\Weibo\Weibo-2.pcap,0.8579932,0.0022771,0.0746554,0.6710772,0.1050171,0.0049664,0.0,0.0,0.0,0.0
temporal,16,1,Benign\Weibo\Weibo\Weibo-3.pcap,0.8340906,0.0029534,0.0830247,0.6292807,0.1131064,0.0057254,0.0,0.0,0.0,0.0
temporal,16,1,Benign\Weibo\Weibo\Weibo-4.pcap,0.8298503,0.0027417,0.0770263,0.6422231,0.1029678,0.0048914,0.0,0.0,0.0,0.0
temporal,16,1,Malware\Virut\Virut.pcap,0.7662682,0.0015053,0.0794764,0.6573553,0.021147,0.0067842,0.0,0.0,0.0,0.0
allavg,8,2,Benign\Weibo\Weibo\Weibo-1.pcap,0.8591646,0.0026491,0.0686873,0.6645945,0.1075889,0.0048247,0.006638,0.00407,0.0001121,0.0
allavg,8,2,Benign\Weibo\Weibo\Weibo-2.pcap,0.8260177,0.0026763,0.0697894,0.6280919,0.1090586,0.0051152,0.0065766,0.0046055,0.0001042,0.0
allavg,8,2,Benign\Weibo\Weibo\Weibo-3.pcap,0.8849785,0.0024799,0.0691657,0.6960254,0.1013384,0.0050022,0.0065273,0.0043446,9.5e-05,0.0
allavg,8,2,Benign\Weibo\Weibo\Weibo-4.pcap,0.817775,0.0024246,0.06732,0.6285395,0.1042756,0.0046638,0.0063899,0.0040677,9.39e-05,0.0
allavg,8,2,Malware\Virut\Virut.pcap,0.7663964,0.0023755,0.0839748,0.6361049,0.0284534,0.0072196,0.0017984,0.0064357,3.41e-05,0.0
allavg,16,2,Benign\Weibo\Weibo\Weibo-1.pcap,0.8078694,0.0023683,0.0603914,0.6340258,0.0964229,0.0046529,0.005702,0.0041975,0.0001086,0.0
