schema_version,candidate,candidate_type,warning_percentile,hard_percentile,warning_threshold,hard_threshold,macro_f1,coverage,minimum_class_coverage,selective_error_rate,benign_false_positive_rate,ood_auroc,feasible
2.0,weighted_mean_stats_075,weighted_mean,0.975,0.99,0.9986106930326255,0.9990737953550837,0.9771730759466511,0.7846193845232655,0.7667777817218423,0.022761641392689526,0.024608811542197368,0.5264427045173092,True
2.0,weighted_mean_stats_075,weighted_mean,0.975,0.995,0.9986106930326255,0.9990737953550837,0.9771730759466511,0.7846193845232655,0.7667777817218423,0.022761641392689526,0.024608811542197368,0.5264427045173092,True
2.0,weighted_mean_stats_075,weighted_mean,0.975,0.999,0.9986106930326255,0.9990969504712066,0.9771730759466511,0.7846193845232655,0.7667777817218423,0.022761641392689526,0.024608811542197368,0.5264427045173092,True
2.0,stats_only,rule,0.99,0.999,0.9990737953550837,0.9990969504712066,0.977168564962696,0.7844476309030459,0.766771327798018,0.022766625019584843,0.024608811542197368,0.5425488759773704,True
2.0,max,rule,0.99,0.999,0.9990737953550837,0.9990969504712066,0.9771684825183798,0.784444479460473,0.766771327798018,0.022766716482668852,0.024608811542197368,0.5160033865737381,True
2.0,stats_only,rule,0.95,0.99,0.9986106930326255,0.9990737953550837,0.9771681763698294,0.7844350251327545,0.7667519660265449,0.022766990876330283,0.024608811542197368,0.5425488759773704,True
2.0,stats_only,rule,0.95,0.995,0.9986106930326255,0.9990737953550837,0.9771681763698294,0.7844350251327545,0.7667519660265449,0.022766990876330283,0.024608811542197368,0.5425488759773704,True
2.0,stats_only,rule,0.95,0.999,0.9986106930326255,0.9990969504712066,0.9771681763698294,0.7844350251327545,0.7667519660265449,0.022766990876330283,0.024608811542197368,0.5425488759773704,True
2.0,stats_only,rule,0.975,0.99,0.9986106930326255,0.9990737953550837,0.9771681763698294,0.7844350251327545,0.7667519660265449,0.022766990876330283,0.024608811542197368,0.5425488759773704,True
2.0,stats_only,rule,0.975,0.995,0.9986106930326255,0.9990737953550837,0.9771681763698294,0.7844350251327545,0.7667519660265449,0.022766990876330283,0.024608811542197368,0.5425488759773704,True
