schema_version,strategy,category,sample_count,benign_rate,malicious_rate,suspicious_rate,unknown_rate,alert_rate,average_risk_score,average_agent_calls
1.0,soft,Software updates,20913,0.0,0.00023908573614498158,0.032276574379572515,0.9674843398842825,0.03251566011571749,0.9540962053933499,2.989288959020705
1.0,soft,Streaming media,51529,0.0,0.0008150750063071281,0.03405849133497642,0.9651264336587164,0.03487356634128355,0.9039717335261944,2.879524151448699
1.0,soft,Videoconferencing,25370,0.0,7.883326763894364e-05,0.009617658651951123,0.9903035080804099,0.009696491919590067,0.9159625061043523,2.906779661016949
1.0,soft,Virtual assistant,153,0.0,0.0,0.026143790849673203,0.9738562091503268,0.026143790849673203,0.978977600563752,2.9869281045751634
1.0,soft,Weather services,7873,0.0,0.0,0.03238917820398832,0.9676108217960117,0.03238917820398832,0.8780049206511429,2.892544138193827
1.0,hybrid,Advertising,54173,0.0,0.0007199158252265889,0.030181086519114688,0.9690989976556588,0.030901002344341278,0.513937849661985,2.9237812194266515
1.0,hybrid,Analytics & Telemetry,44194,0.0,0.0,0.011449518034122278,0.9885504819658777,0.011449518034122278,0.5074673988582148,2.8751414219124767
1.0,hybrid,Antivirus,41044,0.0,0.00012182048533281357,0.048094727609394795,0.9517834519052724,0.04821654809472761,0.5572087002197729,2.9278579085859078
1.0,hybrid,Authentication services,27690,0.0,0.00036114120621162876,0.006464427591188155,0.9931744312026002,0.006825568797399783,0.5108328113893627,2.959841097869267
1.0,hybrid,File sharing,34029,0.0,0.0013224014810896587,0.039378177436892065,0.9592994210820183,0.04070057891798172,0.5240903312238399,2.9075788298216225
1.0,hybrid,Games,11282,0.0,8.863676653075696e-05,0.15786208119127815,0.8420492820421911,0.1579507179578089,0.5703793843646551,2.9277610352774333
1.0,hybrid,Information Systems,8034,0.0,0.005850136918098083,0.11625591237241722,0.8778939507094847,0.12210604929051531,0.5394320102583855,2.888722927557879
1.0,hybrid,Instant messaging,8121,0.0,0.0023396133481098386,0.047654229774658295,0.9500061568772319,0.04999384312276813,0.5677522657843189,2.9381849525920454
1.0,hybrid,Internet Banking,1758,0.0,0.0,0.04152445961319681,0.9584755403868032,0.04152445961319681,0.5277059471003132,2.8771331058020477
1.0,hybrid,Mail,20074,0.0,9.963136395337252e-05,0.00787087775231643,0.9920294908837302,0.007970509116269802,0.4940205999091412,2.858224569094351
1.0,hybrid,Music,16846,0.0,0.0004748901816454945,0.01264395108631129,0.9868811587320432,0.013118841267956784,0.5002926010616597,2.9172503858482726
1.0,hybrid,Notification services,9629,0.0,0.0016616471076955032,0.00789282376155364,0.9904455291307509,0.009554470869249144,0.5172841620253724,2.8503479073631737
1.0,hybrid,Other services and APIs,61839,0.0,0.0006630120150713951,0.034719190155080126,0.9646177978298485,0.03538220217015152,0.5218426059662417,2.901712511521855
1.0,hybrid,Remote Desktop,1020,0.0,0.0,0.10490196078431373,0.8950980392156863,0.10490196078431373,0.5097100532611581,2.73921568627451
1.0,hybrid,Search,20578,0.0,0.00043736028768587813,0.03907085236660511,0.9604917873457091,0.03950821265429099,0.5091659891425202,2.881086597336962
1.0,hybrid,Social,33848,0.0,0.0015658236823445995,0.08239777830300166,0.9160363980146538,0.08396360198534625,0.5328410068981037,2.908561805719688
1.0,hybrid,Software updates,20913,0.0,0.00023908573614498158,0.030842059962702624,0.9689188543011524,0.031081145698847606,0.7320619379510951,2.989288959020705
1.0,hybrid,Streaming media,51529,0.0,0.0008150750063071281,0.033903238952822684,0.9652816860408702,0.03471831395912981,0.518942387634977,2.879524151448699
1.0,hybrid,Videoconferencing,25370,0.0,7.883326763894364e-05,0.009617658651951123,0.9903035080804099,0.009696491919590067,0.4963117372565353,2.906779661016949
1.0,hybrid,Virtual assistant,153,0.0,0.0,0.026143790849673203,0.9738562091503268,0.026143790849673203,0.5088585318313292,2.9869281045751634
1.0,hybrid,Weather services,7873,0.0,0.0,0.03226216181887463,0.9677378381811254,0.03226216181887463,0.5157115896800867,2.892544138193827
1.0,stats_gate_only,Advertising,54173,0.0,0.08151662267181069,0.8975688996363502,0.020914477691839108,0.9790855223081609,0.9861501702318777,2.9237812194266515
1.0,stats_gate_only,Analytics & Telemetry,44194,0.0,0.06023442096212155,0.9375933384622347,0.0021722405756437525,0.9978277594243562,0.9988272188738612,2.8751414219124767
1.0,stats_gate_only,Antivirus,41044,0.0,0.11051554429392847,0.8859760257284865,0.0035084299775850307,0.996491570022415,0.9971253858772265,2.9278579085859078
1.0,stats_gate_only,Authentication services,27690,0.0,0.048537378114842905,0.9503430841459011,0.001119537739256049,0.9988804622607439,0.9993389934269424,2.959841097869267
1.0,stats_gate_only,File sharing,34029,5.877339915954039e-05,0.08386964060066414,0.9098122189896852,0.006259367010491052,0.9936818595903494,0.9962428967239627,2.9075788298216225
1.0,stats_gate_only,Games,11282,0.0,0.25970572593511787,0.7242510193228151,0.01604325474206701,0.983956745257933,0.9924333282355785,2.9277610352774333
1.0,stats_gate_only,Information Systems,8034,0.0,0.15359721184963904,0.804082648742843,0.04232013940751805,0.957679860592482,0.9820464854658639,2.888722927557879
1.0,stats_gate_only,Instant messaging,8121,0.0,0.12326068218199729,0.8618396749168822,0.01489964290112055,0.9851003570988794,0.9912118565283947,2.9381849525920454
1.0,stats_gate_only,Internet Banking,1758,0.0,0.08248009101251422,0.9032992036405005,0.01422070534698521,0.9857792946530148,0.9917884785846433,2.8771331058020477
1.0,stats_gate_only,Mail,20074,4.981568197668626e-05,0.060974394739463984,0.9227856929361363,0.016190096642423036,0.9837600876756003,0.9944402649975334,2.858224569094351
1.0,stats_gate_only,Music,16846,0.0,0.04262139380268313,0.9444972100201828,0.012881396177134038,0.987118603822866,0.9935202932342233,2.9172503858482726
1.0,stats_gate_only,Notification services,9629,0.0,0.2545435663101049,0.7442101983591235,0.0012462353307716274,0.9987537646692284,0.9988716164006122,2.8503479073631737
1.0,stats_gate_only,Other services and APIs,61839,1.6171024757838905e-05,0.07931887643719983,0.9003703164669545,0.020294636071087824,0.9796891929041543,0.9928644990718651,2.901712511521855
1.0,stats_gate_only,Remote Desktop,1020,0.0,0.06862745098039216,0.9166666666666666,0.014705882352941176,0.9852941176470589,0.9732147113185569,2.73921568627451
1.0,stats_gate_only,Search,20578,0.0,0.16104577704344444,0.8272912819515988,0.01166294100495675,0.9883370589950432,0.9925418621231663,2.881086597336962
1.0,stats_gate_only,Social,33848,0.0,0.1898191916804538,0.763708343181281,0.04647246513826519,0.9535275348617348,0.9774332737085405,2.908561805719688
1.0,stats_gate_only,Software updates,20913,0.0,0.05671113661358963,0.9423803375890595,0.00090852579735093,0.9990914742026491,0.999158356317918,2.989288959020705
1.0,stats_gate_only,Streaming media,51529,1.9406547769217335e-05,0.12653069145529702,0.8549942750684081,0.018455626928525686,0.9815249665237051,0.9919196762941126,2.879524151448699
1.0,stats_gate_only,Videoconferencing,25370,0.0,0.03310997240835633,0.9566022861647615,0.010287741426882144,0.9897122585731178,0.9969704572895477,2.906779661016949
1.0,stats_gate_only,Virtual assistant,153,0.0,0.05228758169934641,0.9477124183006536,0.0,1.0,0.9996123370765999,2.9869281045751634
