fold,seed,group,policy,target_budget,rows,macro_f1,malicious_recall,false_positive_rate,tn,fp,fn,tp,corrected_C,introduced_D,C_minus_D,effective_budget
2,42,malware:Zeus,confidence_budget,2.0,2000,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,2.0
2,42,benign:Outlook,hashrandom_budget,2.0,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,2.0
2,42,malware:Zeus,hashrandom_budget,2.0,2000,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,2.0
2,42,benign:Outlook,probability_only_gain,2.0,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,2.0
2,42,malware:Zeus,probability_only_gain,2.0,2000,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,2.0
2,42,benign:Outlook,post_first_temporal_gain,2.0,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,2.0
2,42,malware:Zeus,post_first_temporal_gain,2.0,2000,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,2.0
2,42,benign:Outlook,positive_gain_no_call,,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.004
2,42,malware:Zeus,positive_gain_no_call,,2000,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,1.004
2,42,benign:Outlook,post_first_temporal_positive_gain_no_call,,2000,0.5,0.0,0.0,2000,0,0,0,0,0,0,1.8725
2,42,malware:Zeus,post_first_temporal_positive_gain_no_call,,2000,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,1.8725
3,42,benign:Facetime,first_temporal,1.0,2000,0.1474850809889173,0.0,0.827,346,1654,0,0,0,0,0,1.0
3,42,malware:Geodo,first_temporal,1.0,2000,0.49096462204123187,0.9645,0.0,0,0,71,1929,0,0,0,1.0
3,42,benign:Facetime,first_stats,1.0,2000,0.1474850809889173,0.0,0.827,346,1654,0,0,0,0,0,1.0
