fold,seed,policy,target_budget,budget,budget_semantics,rows,second_calls,simulated_second_calls,effective_budget,mean_predicted_delta_acquired,C,D,C_D_reference,C_D_is_applicable,macro_f1,malicious_recall,false_positive_rate,tn,fp,fn,tp,corrected_C,introduced_D,C_minus_D,scope
2,42,first_temporal,1.1,1.1,repeated_reference_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,first_stats,1.1,1.1,repeated_reference_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,all_average,1.1,1.1,repeated_reference_panel,4000,4000,4000,2.0,-0.0013708889668891595,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,confidence_budget,1.1,1.1,matched_budget_panel,4000,400,400,1.1,-0.012609334884393196,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,hashrandom_budget,1.1,1.1,matched_budget_panel,4000,400,400,1.1,-0.00152833660277611,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,probability_only_gain,1.1,1.1,matched_budget_panel,4000,400,400,1.1,0.0009664354212785307,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,post_first_temporal_gain,1.1,1.1,matched_budget_panel,4000,400,400,1.1,0.02249766751894408,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,first_temporal,1.25,1.25,repeated_reference_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,first_stats,1.25,1.25,repeated_reference_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,all_average,1.25,1.25,repeated_reference_panel,4000,4000,4000,2.0,-0.0013708889668891595,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,confidence_budget,1.25,1.25,matched_budget_panel,4000,1000,1000,1.25,-0.005075516898687946,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,hashrandom_budget,1.25,1.25,matched_budget_panel,4000,1000,1000,1.25,-0.001252427264144601,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,probability_only_gain,1.25,1.25,matched_budget_panel,4000,1000,1000,1.25,0.00035747575207444607,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,post_first_temporal_gain,1.25,1.25,matched_budget_panel,4000,1000,1000,1.25,0.009183116956818718,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,first_temporal,1.5,1.5,repeated_reference_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,first_stats,1.5,1.5,repeated_reference_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,all_average,1.5,1.5,repeated_reference_panel,4000,4000,4000,2.0,-0.0013708889668891595,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,confidence_budget,1.5,1.5,matched_budget_panel,4000,2000,2000,1.5,-0.0025620071297081113,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,hashrandom_budget,1.5,1.5,matched_budget_panel,4000,2000,2000,1.5,-0.002093120924141777,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,probability_only_gain,1.5,1.5,matched_budget_panel,4000,2000,2000,1.5,0.000145428912006847,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
2,42,post_first_temporal_gain,1.5,1.5,matched_budget_panel,4000,2000,2000,1.5,0.004744933436110265,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
