fold,group,method,coverage_target,accepted_rows,total_rows,coverage,accepted_error_count,accepted_error,malicious_correct_detected,malicious_missed,malicious_refused,normal_refused,base_pavg_malicious_correct_full,base_pavg_malicious_missed_full
2,malware:Zeus,risk_hgb,0.5,1000,2000,0.5,0,0.0,1000,1000,1000,0,1999,1
2,malware:Zeus,risk_hgb,0.7,1400,2000,0.7,0,0.0,1400,600,600,0,1999,1
2,malware:Zeus,risk_hgb,0.8,1600,2000,0.8,0,0.0,1600,400,400,0,1999,1
2,malware:Zeus,risk_hgb,0.9,1800,2000,0.9,0,0.0,1800,200,200,0,1999,1
2,malware:Zeus,risk_hgb,0.95,1900,2000,0.95,1,0.0005263157894736842,1899,101,100,0,1999,1
2,malware:Zeus,risk_hgb,1.0,2000,2000,1.0,1,0.0005,1999,1,0,0,1999,1
3,__ALL__,risk_pavg,0.5,2000,4000,0.5,0,0.0,1886,114,114,1886,1999,1
3,__ALL__,risk_pavg,0.7,2800,4000,0.7,551,0.19678571428571429,1903,97,97,1103,1999,1
3,__ALL__,risk_pavg,0.8,3200,4000,0.8,951,0.2971875,1903,97,97,703,1999,1
3,__ALL__,risk_pavg,0.9,3600,4000,0.9,1351,0.37527777777777777,1903,97,97,303,1999,1
3,__ALL__,risk_pavg,0.95,3800,4000,0.95,1551,0.4081578947368421,1903,97,97,103,1999,1
3,__ALL__,risk_pavg,1.0,4000,4000,1.0,1655,0.41375,1999,1,0,0,1999,1
3,__ALL__,risk_disagreement,0.5,2000,4000,0.5,0,0.0,1831,169,169,1831,1999,1
3,__ALL__,risk_disagreement,0.7,2800,4000,0.7,551,0.19678571428571429,1903,97,97,1103,1999,1
3,__ALL__,risk_disagreement,0.8,3200,4000,0.8,951,0.2971875,1903,97,97,703,1999,1
3,__ALL__,risk_disagreement,0.9,3600,4000,0.9,1351,0.37527777777777777,1903,97,97,303,1999,1
3,__ALL__,risk_disagreement,0.95,3800,4000,0.95,1551,0.4081578947368421,1903,97,97,103,1999,1
3,__ALL__,risk_disagreement,1.0,4000,4000,1.0,1655,0.41375,1999,1,0,0,1999,1
3,__ALL__,risk_hgb,0.5,2000,4000,0.5,0,0.0,1903,97,97,1903,1999,1
3,__ALL__,risk_hgb,0.7,2800,4000,0.7,543,0.19392857142857142,1911,89,88,1112,1999,1
3,__ALL__,risk_hgb,0.8,3200,4000,0.8,943,0.2946875,1911,89,88,712,1999,1
3,__ALL__,risk_hgb,0.9,3600,4000,0.9,1343,0.37305555555555553,1911,89,88,312,1999,1
3,__ALL__,risk_hgb,0.95,3800,4000,0.95,1543,0.4060526315789474,1911,89,88,112,1999,1
3,__ALL__,risk_hgb,1.0,4000,4000,1.0,1655,0.41375,1999,1,0,0,1999,1
3,benign:Facetime,risk_pavg,0.5,1000,2000,0.5,654,0.654,0,0,0,1000,0,0
3,benign:Facetime,risk_pavg,0.7,1400,2000,0.7,1054,0.7528571428571429,0,0,0,600,0,0
3,benign:Facetime,risk_pavg,0.8,1600,2000,0.8,1254,0.78375,0,0,0,400,0,0
3,benign:Facetime,risk_pavg,0.9,1800,2000,0.9,1454,0.8077777777777778,0,0,0,200,0,0
3,benign:Facetime,risk_pavg,0.95,1900,2000,0.95,1554,0.8178947368421052,0,0,0,100,0,0
3,benign:Facetime,risk_pavg,1.0,2000,2000,1.0,1654,0.827,0,0,0,0,0,0
3,benign:Facetime,risk_disagreement,0.5,1000,2000,0.5,654,0.654,0,0,0,1000,0,0
3,benign:Facetime,risk_disagreement,0.7,1400,2000,0.7,1054,0.7528571428571429,0,0,0,600,0,0
3,benign:Facetime,risk_disagreement,0.8,1600,2000,0.8,1254,0.78375,0,0,0,400,0,0
3,benign:Facetime,risk_disagreement,0.9,1800,2000,0.9,1454,0.8077777777777778,0,0,0,200,0,0
3,benign:Facetime,risk_disagreement,0.95,1900,2000,0.95,1554,0.8178947368421052,0,0,0,100,0,0
3,benign:Facetime,risk_disagreement,1.0,2000,2000,1.0,1654,0.827,0,0,0,0,0,0
3,benign:Facetime,risk_hgb,0.5,1000,2000,0.5,654,0.654,0,0,0,1000,0,0
3,benign:Facetime,risk_hgb,0.7,1400,2000,0.7,1054,0.7528571428571429,0,0,0,600,0,0
3,benign:Facetime,risk_hgb,0.8,1600,2000,0.8,1254,0.78375,0,0,0,400,0,0
3,benign:Facetime,risk_hgb,0.9,1800,2000,0.9,1454,0.8077777777777778,0,0,0,200,0,0
3,benign:Facetime,risk_hgb,0.95,1900,2000,0.95,1554,0.8178947368421052,0,0,0,100,0,0
3,benign:Facetime,risk_hgb,1.0,2000,2000,1.0,1654,0.827,0,0,0,0,0,0
3,malware:Geodo,risk_pavg,0.5,1000,2000,0.5,0,0.0,1000,1000,1000,0,1999,1
3,malware:Geodo,risk_pavg,0.7,1400,2000,0.7,0,0.0,1400,600,600,0,1999,1
3,malware:Geodo,risk_pavg,0.8,1600,2000,0.8,0,0.0,1600,400,400,0,1999,1
3,malware:Geodo,risk_pavg,0.9,1800,2000,0.9,0,0.0,1800,200,200,0,1999,1
3,malware:Geodo,risk_pavg,0.95,1900,2000,0.95,0,0.0,1900,100,100,0,1999,1
3,malware:Geodo,risk_pavg,1.0,2000,2000,1.0,1,0.0005,1999,1,0,0,1999,1
3,malware:Geodo,risk_disagreement,0.5,1000,2000,0.5,0,0.0,1000,1000,1000,0,1999,1
3,malware:Geodo,risk_disagreement,0.7,1400,2000,0.7,0,0.0,1400,600,600,0,1999,1
3,malware:Geodo,risk_disagreement,0.8,1600,2000,0.8,0,0.0,1600,400,400,0,1999,1
