analysis_status,dataset_name,feature_name,final_feature_policy,group_stability,shortcut_risk,source_association
computed,CESNET-TLS22,stats.ppi_roundtrips,dataset_specific,not_available,0.0,not_available
computed,CESNET-TLS22,stats.total_bytes,safe_common,not_available,0.0,not_available
inventory_only,CESNET-TLS22,trace_id,blocked,not_available,0.0,not_available
inventory_only,CipherSpectrum,context.dst_ip,blocked,not_available,0.0,not_available
inventory_only,CipherSpectrum,context.dst_port,blocked,not_available,0.0,not_available
inventory_only,CipherSpectrum,context.flow_id,blocked,not_available,0.0,not_available
inventory_only,CipherSpectrum,context.sni,blocked,not_available,0.0,not_available
inventory_only,CipherSpectrum,context.src_ip,blocked,not_available,0.0,not_available
inventory_only,CipherSpectrum,context.src_port,blocked,not_available,0.0,not_available
inventory_only,CipherSpectrum,labels.application,label_only,not_available,0.0,not_available
inventory_only,CipherSpectrum,labels.attack,label_only,not_available,0.0,not_available
inventory_only,CipherSpectrum,labels.binary,label_only,not_available,0.0,not_available
inventory_only,CipherSpectrum,labels.category,label_only,not_available,0.0,not_available
inventory_only,CipherSpectrum,labels.family,label_only,not_available,0.0,not_available
inventory_only,CipherSpectrum,labels.tool,label_only,not_available,0.0,not_available
inventory_only,CipherSpectrum,provenance.capture_id,blocked,not_available,0.0,not_available
inventory_only,CipherSpectrum,provenance.capture_path,blocked,not_available,0.0,not_available
inventory_only,CipherSpectrum,provenance.dataset,blocked,not_available,0.0,not_available
inventory_only,CipherSpectrum,provenance.source_file,blocked,not_available,0.0,not_available
inventory_only,CipherSpectrum,sample_id,blocked,not_available,0.0,not_available
inventory_only,CipherSpectrum,sequence.directions,safe_conditional,not_available,0.0,not_available
inventory_only,CipherSpectrum,sequence.iats,safe_conditional,not_available,0.0,not_available
inventory_only,CipherSpectrum,sequence.packet_lengths,safe_conditional,not_available,0.0,not_available
computed,CipherSpectrum,stats.duration,safe_common,not_available,0.0,not_available
computed,CipherSpectrum,stats.inbound_bytes,safe_common,not_available,0.0,not_available
computed,CipherSpectrum,stats.mean_packet_length,safe_common,not_available,0.0,not_available
computed,CipherSpectrum,stats.outbound_bytes,safe_common,not_available,0.0,not_available
computed,CipherSpectrum,stats.outbound_ratio,safe_common,not_available,0.0,not_available
computed,CipherSpectrum,stats.packet_count,safe_common,not_available,0.0,not_available
computed,CipherSpectrum,stats.packet_length_variance,dataset_specific,not_available,0.0,not_available
computed,CipherSpectrum,stats.total_bytes,safe_common,not_available,0.0,not_available
inventory_only,CipherSpectrum,tls.cipher_suite,safe_conditional,not_available,0.0,not_available
inventory_only,CipherSpectrum,tls.handshake_complete,safe_conditional,not_available,0.0,not_available
inventory_only,CipherSpectrum,tls.version,safe_conditional,not_available,0.0,not_available
inventory_only,CipherSpectrum,trace_id,blocked,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,context.dst_ip,blocked,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,context.dst_port,blocked,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,context.flow_id,blocked,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,context.sni,blocked,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,context.src_ip,blocked,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,context.src_port,blocked,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,labels.application,label_only,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,labels.attack,label_only,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,labels.binary,label_only,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,labels.category,label_only,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,labels.family,label_only,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,labels.tool,label_only,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.client_tcp_flags,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.dns_query_id,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.dns_query_type,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.dns_ttl_answer,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.dst_to_src_avg_throughput,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.dst_to_src_second_bytes,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.duration_in,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.duration_out,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.flow_duration_milliseconds,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.ftp_command_ret_code,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.icmp_ipv4_type,dataset_specific,not_available,0.0,not_available
