analysis_status,dataset_name,feature_name,final_feature_policy,group_stability,shortcut_risk,source_association
inventory_only,CICIDS2017,native.bwd_header_length,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.bwd_iat_max,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.bwd_iat_mean,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.bwd_iat_min,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.bwd_iat_std,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.bwd_iat_total,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.bwd_packet_length_max,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.bwd_packet_length_mean,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.bwd_packet_length_min,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.bwd_packet_length_std,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.bwd_packets_s,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.bwd_psh_flags,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.bwd_urg_flags,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.cwe_flag_count,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.down_up_ratio,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.ece_flag_count,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.fin_flag_count,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.flow_bytes_s,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.flow_duration,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.flow_iat_max,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.flow_iat_mean,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.flow_iat_min,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.flow_iat_std,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.flow_packets_s,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.fwd_avg_bulk_rate,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.fwd_avg_bytes_bulk,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.fwd_avg_packets_bulk,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.fwd_header_length,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.fwd_iat_max,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.fwd_iat_mean,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.fwd_iat_min,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.fwd_iat_std,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.fwd_iat_total,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.fwd_packet_length_max,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.fwd_packet_length_mean,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.fwd_packet_length_min,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.fwd_packet_length_std,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.fwd_packets_s,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.fwd_psh_flags,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.fwd_urg_flags,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.idle_max,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.idle_mean,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.idle_min,dataset_specific,not_available,0.0,not_available
inventory_only,CICIDS2017,native.idle_std,dataset_specific,not_available,0.0,not_available
