analysis_status,cramers_v,cross_dataset_stability,dataset_name,decision_reason,feature_name,feature_rank_stability,final_feature_policy,group_stability,grouped_bootstrap_auc_high,grouped_bootstrap_auc_low,ks_statistic,label_association,missingness_leakage,mutation_invariance,permutation_importance,semantic_role,shap_importance,shortcut_risk,single_feature_auc,source_association,wasserstein_distance
computed,not_available,not_available,CipherSpectrum,Canonical aggregate is present across at least four audited datasets.,stats.outbound_ratio,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,CipherSpectrum,Canonical aggregate is present across at least four audited datasets.,stats.packet_count,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,CipherSpectrum,Feature is currently native to a limited dataset/schema and requires scoped validation.,stats.packet_length_variance,not_available,dataset_specific,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,CipherSpectrum,Canonical aggregate is present across at least four audited datasets.,stats.total_bytes,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,CipherSpectrum,Evidence is safe only when the corresponding sequence/TLS capability is present.,tls.cipher_suite,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,tls_protocol,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,CipherSpectrum,Evidence is safe only when the corresponding sequence/TLS capability is present.,tls.handshake_complete,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,tls_protocol,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,CipherSpectrum,Evidence is safe only when the corresponding sequence/TLS capability is present.,tls.version,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,tls_protocol,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,CipherSpectrum,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",trace_id,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",context.dst_ip,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",context.dst_port,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
