analysis_status,cramers_v,cross_dataset_stability,dataset_name,decision_reason,feature_name,feature_rank_stability,final_feature_policy,group_stability,grouped_bootstrap_auc_high,grouped_bootstrap_auc_low,ks_statistic,label_association,missingness_leakage,mutation_invariance,permutation_importance,semantic_role,shap_importance,shortcut_risk,single_feature_auc,source_association,wasserstein_distance
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,Feature is currently native to a limited dataset/schema and requires scoped validation.,native.min_ttl,not_available,dataset_specific,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,dataset_native_flow_feature,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,Feature is currently native to a limited dataset/schema and requires scoped validation.,native.num_pkts_1024_to_1514_bytes,not_available,dataset_specific,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,dataset_native_flow_feature,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,Feature is currently native to a limited dataset/schema and requires scoped validation.,native.num_pkts_128_to_256_bytes,not_available,dataset_specific,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,dataset_native_flow_feature,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,Feature is currently native to a limited dataset/schema and requires scoped validation.,native.num_pkts_256_to_512_bytes,not_available,dataset_specific,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,dataset_native_flow_feature,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,Feature is currently native to a limited dataset/schema and requires scoped validation.,native.num_pkts_512_to_1024_bytes,not_available,dataset_specific,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,dataset_native_flow_feature,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,Feature is currently native to a limited dataset/schema and requires scoped validation.,native.num_pkts_up_to_128_bytes,not_available,dataset_specific,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,dataset_native_flow_feature,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,Feature is currently native to a limited dataset/schema and requires scoped validation.,native.out_pkts,not_available,dataset_specific,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,dataset_native_flow_feature,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,Feature is currently native to a limited dataset/schema and requires scoped validation.,native.retransmitted_in_bytes,not_available,dataset_specific,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,dataset_native_flow_feature,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,Feature is currently native to a limited dataset/schema and requires scoped validation.,native.retransmitted_in_pkts,not_available,dataset_specific,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,dataset_native_flow_feature,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,Feature is currently native to a limited dataset/schema and requires scoped validation.,native.retransmitted_out_bytes,not_available,dataset_specific,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,dataset_native_flow_feature,not_available,0.0,not_available,not_available,not_available
