accuracy,configuration,coverage,dataset,ece,macro_f1,malicious_recall,model,protocol,selective_error,test_count,train_count,weighted_f1,worst_group_macro_f1
0.9916666666666667,safe_common_only,1.0,HIKARI-2021,0.007402119370832404,0.9916664880505841,0.9962962962962963,HGB,random_stratified_70_30,0.008333333333333304,1080,2520,0.9916664880505841,not_available
0.9953703703703703,safe_common_only,1.0,HIKARI-2021,0.005208333333333295,0.9953703346476439,0.9981481481481481,RandomForest,random_stratified_70_30,0.00462962962962965,1080,2520,0.9953703346476438,not_available
0.9953703703703703,safe_common_only,1.0,HIKARI-2021,0.011608796296296296,0.9953703664012057,0.9962962962962963,ExtraTrees,random_stratified_70_30,0.00462962962962965,1080,2520,0.9953703664012058,not_available
0.9481481481481482,safe_common_only,1.0,HIKARI-2021,0.17200816941135422,0.9480904708935854,0.9814814814814815,LogisticSGD,random_stratified_70_30,0.051851851851851816,1080,2520,0.9480904708935854,not_available
0.9916666666666667,safe_common_plus_safe_conditional,1.0,HIKARI-2021,0.007402119370832404,0.9916664880505841,0.9962962962962963,HGB,random_stratified_70_30,0.008333333333333304,1080,2520,0.9916664880505841,not_available
0.9953703703703703,safe_common_plus_safe_conditional,1.0,HIKARI-2021,0.005208333333333295,0.9953703346476439,0.9981481481481481,RandomForest,random_stratified_70_30,0.00462962962962965,1080,2520,0.9953703346476438,not_available
0.9953703703703703,safe_common_plus_safe_conditional,1.0,HIKARI-2021,0.011608796296296296,0.9953703664012057,0.9962962962962963,ExtraTrees,random_stratified_70_30,0.00462962962962965,1080,2520,0.9953703664012058,not_available
0.9481481481481482,safe_common_plus_safe_conditional,1.0,HIKARI-2021,0.17200816941135422,0.9480904708935854,0.9814814814814815,LogisticSGD,random_stratified_70_30,0.051851851851851816,1080,2520,0.9480904708935854,not_available
0.9962962962962963,safe_common_plus_dataset_specific,1.0,HIKARI-2021,0.0035548310887621453,0.9962962835949369,0.9981481481481481,HGB,random_stratified_70_30,0.0037037037037036535,1080,2520,0.9962962835949369,not_available
0.9972222222222222,safe_common_plus_dataset_specific,1.0,HIKARI-2021,0.007870370370370373,0.9972222198407235,0.9981481481481481,RandomForest,random_stratified_70_30,0.002777777777777768,1080,2520,0.9972222198407233,not_available
0.9962962962962963,safe_common_plus_dataset_specific,1.0,HIKARI-2021,0.011608796296296317,0.9962962835949369,0.9981481481481481,ExtraTrees,random_stratified_70_30,0.0037037037037036535,1080,2520,0.9962962835949369,not_available
0.9564814814814815,safe_common_plus_dataset_specific,1.0,HIKARI-2021,0.028361875509176133,0.9564057971014492,0.9981481481481481,LogisticSGD,random_stratified_70_30,0.04351851851851851,1080,2520,0.9564057971014491,not_available
1.0,all_numeric_features,1.0,DoHBrw-2020,0.00016185130243631424,1.0,1.0,HGB,random_stratified_70_30,0.0,1500,3500,1.0,not_available
1.0,all_numeric_features,1.0,DoHBrw-2020,0.002595833333333325,1.0,1.0,RandomForest,random_stratified_70_30,0.0,1500,3500,1.0,not_available
1.0,all_numeric_features,1.0,DoHBrw-2020,0.0019541666666667073,1.0,1.0,ExtraTrees,random_stratified_70_30,0.0,1500,3500,1.0,not_available
0.9993333333333333,all_numeric_features,1.0,DoHBrw-2020,0.0002347262775245825,0.9993333330370369,1.0,LogisticSGD,random_stratified_70_30,0.0006666666666667043,1500,3500,0.999333333037037,not_available
0.9893333333333333,safe_common_only,1.0,DoHBrw-2020,0.007229942962833631,0.9893333143703367,0.988,HGB,random_stratified_70_30,0.010666666666666713,1500,3500,0.9893333143703367,not_available
0.9926666666666667,safe_common_only,1.0,DoHBrw-2020,0.006824999999999939,0.992666663407406,0.992,RandomForest,random_stratified_70_30,0.007333333333333303,1500,3500,0.992666663407406,not_available
0.992,safe_common_only,1.0,DoHBrw-2020,0.006316666666666621,0.9919999431107065,0.9893333333333333,ExtraTrees,random_stratified_70_30,0.008000000000000007,1500,3500,0.9919999431107065,not_available
0.9833333333333333,safe_common_only,1.0,DoHBrw-2020,0.03124485401207428,0.9833331481460905,0.9866666666666667,LogisticSGD,random_stratified_70_30,0.01666666666666672,1500,3500,0.9833331481460905,not_available
0.9973333333333333,safe_common_plus_safe_conditional,1.0,DoHBrw-2020,0.0028211766215804337,0.9973333285925842,0.9986666666666667,HGB,random_stratified_70_30,0.002666666666666706,1500,3500,0.9973333285925842,not_available
0.9933333333333333,safe_common_plus_safe_conditional,1.0,DoHBrw-2020,0.004287499999999971,0.9933333214814604,0.9946666666666667,RandomForest,random_stratified_70_30,0.00666666666666671,1500,3500,0.9933333214814605,not_available
0.9933333333333333,safe_common_plus_safe_conditional,1.0,DoHBrw-2020,0.005675000000000011,0.9933333333333333,0.9933333333333333,ExtraTrees,random_stratified_70_30,0.00666666666666671,1500,3500,0.9933333333333333,not_available
0.9833333333333333,safe_common_plus_safe_conditional,1.0,DoHBrw-2020,0.029765792958706287,0.9833327333117325,0.9893333333333333,LogisticSGD,random_stratified_70_30,0.01666666666666672,1500,3500,0.9833327333117325,not_available
0.9986666666666667,safe_common_plus_dataset_specific,1.0,DoHBrw-2020,0.0007821538919626501,0.9986666666666667,0.9986666666666667,HGB,random_stratified_70_30,0.0013333333333332975,1500,3500,0.9986666666666667,not_available
0.9993333333333333,safe_common_plus_dataset_specific,1.0,DoHBrw-2020,0.0014458333333332858,0.9993333330370369,1.0,RandomForest,random_stratified_70_30,0.0006666666666667043,1500,3500,0.999333333037037,not_available
1.0,safe_common_plus_dataset_specific,1.0,DoHBrw-2020,0.0011416666666666016,1.0,1.0,ExtraTrees,random_stratified_70_30,0.0,1500,3500,1.0,not_available
0.9993333333333333,safe_common_plus_dataset_specific,1.0,DoHBrw-2020,0.0020827054008830735,0.9993333330370369,0.9986666666666667,LogisticSGD,random_stratified_70_30,0.0006666666666667043,1500,3500,0.999333333037037,not_available
